June 3 = JD 154												

Target	decday					Hang	Vang	Z	HI	Elocal	Nlocal	Z
333	154.9597222	6	3	23	2	105.29444	267.48056	1275.295	1.62	3771.052	5336.077	945.674
CGR1	154.9597222	6	3	23	2	179.99944	272.77306	131.885	1.62	4999.999	5131.731	1008.002
111	154.96875	6	3	23	15	287.86528	92.64472	1065.897	1.62	3986.573	5326.649	952.514
333	154.96875	6	3	23	15	285.28583	92.52778	1275.275	1.62	3771.028	5335.881	945.486
CGR1	154.9694444	6	3	23	16	359.99722	87.23778	131.886	1.62	4999.994	5131.732	1007.977
111	154.9694444	6	3	23	16	107.86528	267.36556	1065.894	1.62	3986.567	5326.65	952.708
333	154.9701389	6	3	23	17	105.28944	267.48361	1275.273	1.62	3771.04	5335.963	945.743
CGR1	154.9701389	6	3	23	17	179.99889	272.77333	131.885	1.62	4999.997	5131.73	1008.003
111	154.9791667	6	3	23	30	287.86083	92.645	1065.874	1.62	3986.571	5326.566	952.508
333	154.9791667	6	3	23	30	285.28139	92.52806	1275.256	1.62	3771.02	5335.783	945.482
CGR1	154.9798611	6	3	23	31	359.99806	87.23472	131.886	1.62	4999.996	5131.732	1007.984
111	154.9798611	6	3	23	31	107.86028	267.36389	1065.873	1.62	3986.56	5326.556	952.673
333	154.9805556	6	3	23	32	105.28306	267.48306	1275.258	1.62	3771.017	5335.819	945.727
CGR1	154.9805556	6	3	23	32	179.99833	272.77333	131.884	1.62	4999.996	5131.73	1008.003
111	154.9895833	6	3	23	45	287.85333	92.645	1065.854	1.62	3986.547	5326.428	952.511
333	154.9895833	6	3	23	45	285.27444	92.52556	1275.239	1.62	3770.994	5335.63	945.538
CGR1	154.9902778	6	3	23	46	359.99833	87.23778	131.885	1.62	4999.996	5131.732	1007.977
111	154.9902778	6	3	23	46	107.85583	267.36639	1065.854	1.62	3986.552	5326.474	952.721
333	154.9909722	6	3	23	47	105.27722	267.48333	1275.238	1.62	3771.003	5335.694	945.737
CGR1	154.9909722	6	3	23	47	179.99778	272.77444	131.885	1.62	4999.995	5131.73	1008.005
111	155	6	4	0	0	287.84889	92.64556	1065.833	1.62	3986.541	5326.34	952.499
333	155	6	4	0	0	285.2725	92.52778	1275.218	1.62	3771.003	5335.579	945.49
CGR1	155.0006944	6	4	0	1	359.99833	87.23639	131.885	1.62	4999.996	5131.731	1007.98
111	155.0006944	6	4	0	1	107.85083	267.36389	1065.833	1.62	3986.544	5326.375	952.676
333	155.0013889	6	4	0	2	105.27278	267.48	1275.221	1.62	3770.996	5335.588	945.664
CGR1	155.0013889	6	4	0	2	179.99722	272.77333	131.885	1.62	4999.994	5131.73	1008.003
111	155.0104167	6	4	0	15	287.84139	92.64583	1065.811	1.62	3986.521	5326.201	952.497
333	155.0104167	6	4	0	15	285.26694	92.52833	1275.199	1.62	3770.991	5335.459	945.479
CGR1	155.0111111	6	4	0	16	359.99806	87.23583	131.885	1.62	4999.996	5131.731	1007.981
111	155.0111111	6	4	0	16	107.84167	267.36028	1065.81	1.62	3986.517	5326.206	952.61
333	155.0118056	6	4	0	17	105.26694	267.48083	1275.203	1.62	3770.979	5335.463	945.684
CGR1	155.0118056	6	4	0	17	179.99806	272.77278	131.885	1.62	4999.996	5131.73	1008.001
