---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 10, 7, 30,201.53250,265.66190,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 7, 30,21.53140,94.33460,23.0160,5008.4230,5021.3480,999.9610
111,5, 10, 7, 31,178.87390,92.20170,1967.9370,5038.6490,3033.8740,926.3620
111,5, 10, 7, 31,358.87760,267.79370,1967.9330,5038.5190,3033.8810,926.2040
REF,5, 10, 7, 45,201.53250,265.66230,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 7, 45,21.53020,94.33480,23.0160,5008.4220,5021.3490,999.9600
111,5, 10, 7, 46,178.87390,92.20060,1967.7770,5038.6450,3034.0320,926.4040
111,5, 10, 7, 46,358.87810,267.79530,1967.7780,5038.5020,3034.0340,926.2620
REF,5, 10, 8, 0,201.53250,265.66130,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 8, 0,21.53360,94.33510,23.0160,5008.4240,5021.3480,999.9600
111,5, 10, 8, 1,178.87350,92.19810,1967.6290,5038.6550,3034.1770,926.4960
111,5, 10, 8, 1,358.87640,267.79650,1967.6220,5038.5550,3034.1890,926.3090
REF,5, 10, 8, 15,201.53300,265.66100,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 8, 15,21.53110,94.33450,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 8, 16,178.87280,92.19700,1967.4790,5038.6750,3034.3260,926.5390
111,5, 10, 8, 16,358.87610,267.79820,1967.4710,5038.5620,3034.3380,926.3750
REF,5, 10, 8, 30,201.53310,265.66180,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 8, 30,21.52960,94.33430,23.0160,5008.4220,5021.3490,999.9610
111,5, 10, 8, 31,178.87150,92.19590,1967.3200,5038.7190,3034.4850,926.5840
111,5, 10, 8, 31,358.87460,267.80050,1967.3190,5038.6100,3034.4880,926.4600
REF,5, 10, 8, 45,201.53310,265.66170,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 8, 45,21.53060,94.33480,23.0160,5008.4230,5021.3480,999.9600
111,5, 10, 8, 46,178.87110,92.19490,1967.1640,5038.7290,3034.6390,926.6220
111,5, 10, 8, 46,358.87510,267.79930,1967.1690,5038.5900,3034.6390,926.4230
REF,5, 10, 9, 0,201.53240,265.66160,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 9, 0,21.53040,94.33460,23.0160,5008.4220,5021.3480,999.9600
111,5, 10, 9, 1,178.87040,92.19480,1967.0170,5038.7500,3034.7860,926.6340
111,5, 10, 9, 1,358.87400,267.80020,1967.0140,5038.6270,3034.7940,926.4610
REF,5, 10, 9, 15,201.53270,265.66130,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 9, 15,21.53060,94.33460,23.0160,5008.4230,5021.3480,999.9600
111,5, 10, 9, 16,178.86930,92.19340,1966.8620,5038.7840,3034.9400,926.6860
111,5, 10, 9, 16,358.87260,267.80290,1966.8570,5038.6720,3034.9480,926.5600
REF,5, 10, 9, 30,201.53330,265.66180,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 9, 30,21.52960,94.33440,23.0150,5008.4220,5021.3480,999.9610
111,5, 10, 9, 31,178.86860,92.19160,1966.7070,5038.8050,3035.0930,926.7540
111,5, 10, 9, 31,358.87280,267.80480,1966.7040,5038.6620,3035.0990,926.6290
REF,5, 10, 9, 45,201.53340,265.66190,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 9, 45,21.53040,94.33480,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 9, 46,178.86880,92.19020,1966.5500,5038.7940,3035.2480,926.8070
111,5, 10, 9, 46,358.87260,267.80590,1966.5510,5038.6640,3035.2500,926.6740
REF,5, 10, 10, 0,201.53240,265.66160,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 10, 0,21.53080,94.33450,23.0150,5008.4230,5021.3480,999.9610
111,5, 10, 10, 1,178.86870,92.18930,1966.3990,5038.7960,3035.3980,926.8460
111,5, 10, 10, 1,358.87140,267.80490,1966.3960,5038.7020,3035.4060,926.6460
REF,5, 10, 10, 15,201.53230,265.66190,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 10, 15,21.53060,94.33490,23.0150,5008.4220,5021.3480,999.9600
111,5, 10, 10, 16,178.86690,92.18620,1966.2450,5038.8550,3035.5490,926.9570
111,5, 10, 10, 16,358.87010,267.80770,1966.2380,5038.7440,3035.5610,926.7470
REF,5, 10, 10, 30,201.53200,265.66120,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 10, 30,21.52950,94.33460,23.0160,5008.4220,5021.3490,999.9610
111,5, 10, 10, 31,178.86680,92.18890,1966.0890,5038.8550,3035.7080,926.8690
111,5, 10, 10, 31,358.87010,267.80590,1966.0820,5038.7430,3035.7190,926.6930
REF,5, 10, 10, 45,201.53270,265.66080,23.0150,5008.4230,5021.3480,999.9590
REF,5, 10, 10, 45,21.53010,94.33350,23.0160,5008.4220,5021.3480,999.9610
