---------Head Start---------
Separator: Comma
Linear Units: Meters
Angular Units: Dec. degrees
Output order: Pnt Id, Time1, Time2, Hz, V, Sd, H.dist, V.dist, East, North, Elev
Code before measurement
List file = None
Join codes: No.
Allow partial blocks?  Yes
---------Head End-----------
REF,5, 11, 1, 30,201.53120,265.66130,23.0160,5008.4230,5021.3480,999.9590
REF,5, 11, 1, 30,21.53010,94.33350,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 1, 31,178.79690,92.21140,1956.3920,5041.0470,3045.4750,926.4700
111,5, 11, 1, 31,358.80040,267.78280,1956.3860,5040.9270,3045.4860,926.2740
REF,5, 11, 1, 45,201.53170,265.66050,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 1, 45,21.52970,94.33360,23.0160,5008.4220,5021.3490,999.9610
111,5, 11, 1, 46,178.79530,92.21010,1956.2270,5041.0980,3045.6390,926.5210
111,5, 11, 1, 46,358.79910,267.78250,1956.2240,5040.9690,3045.6490,926.2680
REF,5, 11, 2, 0,201.52850,265.66210,23.0150,5008.4220,5021.3490,999.9590
REF,5, 11, 2, 0,21.52710,94.33450,23.0150,5008.4210,5021.3490,999.9610
111,5, 11, 2, 1,178.79240,92.21170,1956.0650,5041.1930,3045.8050,926.4710
111,5, 11, 2, 1,358.79780,267.78320,1956.0620,5041.0110,3045.8110,926.2980
REF,5, 11, 2, 15,201.53090,265.66260,23.0160,5008.4230,5021.3480,999.9590
REF,5, 11, 2, 15,21.52800,94.33530,23.0150,5008.4220,5021.3490,999.9600
111,5, 11, 2, 24,358.79460,267.77940,1955.8170,5041.1120,3046.0620,926.1790
REF,5, 11, 2, 30,201.53100,265.66080,23.0150,5008.4230,5021.3480,999.9590
REF,5, 11, 2, 30,21.52840,94.33350,23.0160,5008.4220,5021.3490,999.9610
111,5, 11, 3, 0,358.79100,267.78230,1955.4170,5041.2290,3046.4610,926.2920
REF,5, 11, 3, 1,201.52990,265.66090,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 3, 1,21.52910,94.33420,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 3, 1,178.79040,92.21130,1955.4100,5041.2480,3046.4600,926.5110
111,5, 11, 3, 2,358.79110,267.77930,1955.4030,5041.2260,3046.4790,926.1900
REF,5, 11, 3, 15,201.52890,265.66120,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 3, 15,21.52910,94.33490,23.0150,5008.4220,5021.3490,999.9600
111,5, 11, 3, 16,178.78680,92.21720,1955.2490,5041.3670,3046.6310,926.3170
111,5, 11, 3, 16,358.78950,267.77870,1955.2480,5041.2740,3046.6360,926.1770
REF,5, 11, 3, 30,201.53010,265.66190,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 3, 30,21.52710,94.33470,23.0150,5008.4210,5021.3490,999.9600
111,5, 11, 3, 31,358.78690,267.77760,1955.0790,5041.3600,3046.8080,926.1460
REF,5, 11, 3, 45,201.53040,265.66260,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 3, 45,21.52780,94.33490,23.0150,5008.4210,5021.3490,999.9600
111,5, 11, 3, 46,358.78700,267.77520,1954.9120,5041.3540,3046.9770,926.0690
REF,5, 11, 4, 0,201.52970,265.66270,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 4, 0,21.52940,94.33580,23.0150,5008.4220,5021.3480,999.9600
111,5, 11, 4, 1,178.78090,92.21830,1954.7590,5041.5570,3047.1270,926.2960
111,5, 11, 4, 1,358.78450,267.77830,1954.7580,5041.4340,3047.1290,926.1830
REF,5, 11, 4, 15,201.53050,265.66310,23.0150,5008.4220,5021.3480,999.9600
REF,5, 11, 4, 15,21.52890,94.33540,23.0160,5008.4220,5021.3490,999.9600
111,5, 11, 4, 16,178.78000,92.22150,1954.5960,5041.5860,3047.2940,926.1950
111,5, 11, 4, 16,358.78340,267.77500,1954.5890,5041.4680,3047.3030,926.0740
REF,5, 11, 4, 30,201.52960,265.66160,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 4, 30,21.52620,94.33320,23.0160,5008.4210,5021.3490,999.9610
111,5, 11, 4, 31,178.77830,92.21840,1954.4310,5041.6410,3047.4560,926.3070
111,5, 11, 4, 31,358.77950,267.77460,1954.4300,5041.5990,3047.4650,926.0680
REF,5, 11, 4, 45,201.52800,265.66160,23.0150,5008.4210,5021.3480,999.9590
REF,5, 11, 4, 45,21.52860,94.33530,23.0150,5008.4220,5021.3490,999.9600
111,5, 11, 5, 36,358.77510,267.77330,1953.7290,5041.7340,3048.1710,926.0500
REF,5, 11, 5, 37,201.52950,265.66130,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 5, 37,21.53140,94.33240,23.0160,5008.4230,5021.3480,999.9610
111,5, 11, 5, 38,178.77160,92.21860,1953.7120,5041.8540,3048.1790,926.3280
111,5, 11, 5, 38,358.77580,267.77050,1953.7060,5041.7080,3048.1970,925.9560
REF,5, 11, 5, 45,201.52680,265.66340,23.0150,5008.4210,5021.3490,999.9600
REF,5, 11, 5, 45,21.53050,94.33530,23.0150,5008.4220,5021.3480,999.9600
111,5, 11, 5, 46,178.77020,92.22540,1953.6240,5041.8980,3048.2780,926.1000
111,5, 11, 5, 46,358.77370,267.76970,1953.6180,5041.7800,3048.2870,925.9340
REF,5, 11, 6, 0,201.53020,265.66140,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 6, 0,21.53120,94.33270,23.0150,5008.4230,5021.3480,999.9610
111,5, 11, 6, 1,178.76980,92.22260,1953.4710,5041.9080,3048.4270,926.1990
111,5, 11, 6, 1,358.77290,267.77000,1953.4670,5041.8030,3048.4380,925.9470
REF,5, 11, 6, 15,201.53020,265.66180,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 6, 15,21.53000,94.33300,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 6, 16,178.76740,92.22430,1953.3090,5041.9870,3048.5920,926.1470
111,5, 11, 6, 16,358.77190,267.76830,1953.3060,5041.8320,3048.6020,925.8980
REF,5, 11, 6, 30,201.52870,265.66130,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 6, 30,21.53010,94.33350,23.0150,5008.4220,5021.3480,999.9610
111,5, 11, 6, 31,178.76520,92.22460,1953.1450,5042.0570,3048.7580,926.1450
111,5, 11, 6, 31,358.76980,267.76930,1953.1470,5041.9000,3048.7620,925.9370
REF,5, 11, 6, 45,201.52810,265.66540,23.0150,5008.4220,5021.3490,999.9610
REF,5, 11, 6, 45,21.53200,94.33640,23.0150,5008.4230,5021.3480,999.9600
111,5, 11, 6, 46,178.76680,92.22750,1952.9900,5042.0020,3048.9160,926.0530
111,5, 11, 6, 46,358.77130,267.77250,1952.9850,5041.8470,3048.9180,926.0530
REF,5, 11, 7, 0,201.53000,265.66250,23.0150,5008.4220,5021.3480,999.9590
REF,5, 11, 7, 0,21.52870,94.33490,23.0150,5008.4220,5021.3490,999.9600
111,5, 11, 7, 1,178.76710,92.22230,1952.8370,5041.9870,3049.0620,926.2340
111,5, 11, 7, 1,358.76960,267.77110,1952.8240,5041.9010,3049.0810,926.0120
REF,5, 11, 7, 15,201.52980,265.66200,23.0160,5008.4220,5021.3480,999.9590
REF,5, 11, 7, 15,21.52950,94.33500,23.0150,5008.4220,5021.3480,999.9600
111,5, 11, 7, 16,178.76640,92.22370,1952.6750,5042.0080,3049.2260,926.1920
