id,date,x_NAD27,y_NAD27,z1,lat_WGS84,lng_WGS84,z2
ICE_0174,2004-07-16 09:00:17,502174.65,6782065.538,339.977,61.17438221,-146.9617253,344.131
ICE_0175,2004-07-16 12:00:17,502174.36,6782065.324,339.945,61.17438029,-146.9617307,344.099
ICE_0176,2004-07-16 15:00:17,502174.05,6782065.105,339.928,61.17437832,-146.9617365,344.082
ICE_0177,2004-07-16 18:00:17,502173.695,6782064.864,339.92,61.17437616,-146.9617431,344.074
ICE_0178,2004-07-16 21:00:17,502173.346,6782064.624,339.833,61.17437401,-146.9617496,343.987
ICE_0179,2004-07-17 00:00:17,502172.907,6782064.33,339.895,61.17437137,-146.9617577,344.049
ICE_0180,2004-07-17 03:00:17,502172.536,6782064.072,339.876,61.17436906,-146.9617646,344.03
ICE_0181,2004-07-17 06:00:17,502172.196,6782063.841,339.849,61.17436699,-146.961771,344.003
ICE_0182,2004-07-17 09:00:17,502171.88,6782063.615,339.821,61.17436496,-146.9617768,343.975
ICE_0183,2004-07-17 12:00:17,502171.572,6782063.396,339.798,61.17436299,-146.9617826,343.952
ICE_0184,2004-07-17 15:00:17,502171.27,6782063.18,339.805,61.17436105,-146.9617882,343.959
ICE_0185,2004-07-17 18:00:17,502170.969,6782062.955,339.766,61.17435904,-146.9617938,343.92
ICE_0186,2004-07-17 21:00:17,502170.643,6782062.729,339.753,61.17435701,-146.9617998,343.907
ICE_0188,2004-07-18 00:00:17,502170.323,6782062.523,339.726,61.17435516,-146.9618058,343.88
ICE_0189,2004-07-18 03:00:17,502170.018,6782062.298,339.738,61.17435314,-146.9618115,343.892
ICE_0190,2004-07-18 06:00:17,502169.714,6782062.092,339.726,61.17435129,-146.9618171,343.88
ICE_0191,2004-07-18 09:00:17,502169.42,6782061.876,339.677,61.17434936,-146.9618226,343.831
ICE_0192,2004-07-18 12:00:17,502169.125,6782061.678,339.645,61.17434758,-146.9618281,343.799
ICE_0193,2004-07-18 15:00:17,502168.829,6782061.467,339.645,61.17434569,-146.9618336,343.799
ICE_0194,2004-07-18 18:00:17,502168.522,6782061.25,339.617,61.17434374,-146.9618393,343.771
ICE_0195,2004-07-18 21:00:17,502168.194,6782061.031,339.607,61.17434177,-146.9618454,343.761
ICE_0196,2004-07-19 00:00:17,502167.874,6782060.819,339.596,61.17433988,-146.9618513,343.75
ICE_0197,2004-07-19 03:00:17,502167.56,6782060.597,339.577,61.17433789,-146.9618572,343.731
ICE_0198,2004-07-19 06:00:17,502167.26,6782060.389,339.567,61.17433602,-146.9618628,343.721
ICE_0199,2004-07-19 09:00:17,502166.964,6782060.174,339.533,61.17433409,-146.9618683,343.687
ICE_0200,2004-07-19 12:00:17,502166.663,6782059.961,339.511,61.17433218,-146.9618739,343.665
ICE_0201,2004-07-19 15:00:17,502166.339,6782059.745,339.513,61.17433024,-146.9618799,343.667
ICE_0202,2004-07-19 18:00:17,502165.964,6782059.484,339.483,61.1743279,-146.9618869,343.637
ICE_0203,2004-07-19 21:00:17,502165.528,6782059.205,339.508,61.17432539,-146.961895,343.662
ICE_0204,2004-07-20 00:00:17,502165.077,6782058.914,339.476,61.17432279,-146.9619034,343.631
ICE_0205,2004-07-20 03:00:17,502164.646,6782058.629,339.467,61.17432023,-146.9619114,343.621
ICE_0206,2004-07-20 06:00:17,502164.24,6782058.364,339.488,61.17431785,-146.9619189,343.643
ICE_0207,2004-07-20 09:00:17,502163.836,6782058.082,339.43,61.17431532,-146.9619264,343.584
ICE_0208,2004-07-20 12:00:17,502163.436,6782057.806,339.401,61.17431285,-146.9619339,343.555
ICE_0209,2004-07-20 15:00:17,502163.027,6782057.512,339.394,61.17431021,-146.9619415,343.548
ICE_0210,2004-07-20 18:00:17,502162.598,6782057.229,339.361,61.17430768,-146.9619495,343.515
ICE_0211,2004-07-20 21:00:17,502162.139,6782056.941,339.385,61.17430509,-146.961958,343.539
ICE_0212,2004-07-21 00:00:17,502161.691,6782056.636,339.383,61.17430235,-146.9619663,343.538
ICE_0213,2004-07-21 03:00:17,502161.255,6782056.344,339.349,61.17429973,-146.9619744,343.503
ICE_0214,2004-07-21 06:00:17,502160.836,6782056.102,339.408,61.17429756,-146.9619822,343.562
ICE_0215,2004-07-21 09:00:17,502160.43,6782055.809,339.303,61.17429493,-146.9619898,343.457
ICE_0216,2004-07-21 12:00:17,502160.039,6782055.558,339.273,61.17429268,-146.9619971,343.427
ICE_0217,2004-07-21 15:00:17,502159.649,6782055.293,339.273,61.17429031,-146.9620043,343.427
ICE_0218,2004-07-21 18:00:17,502159.235,6782055.016,339.26,61.17428782,-146.962012,343.414
ICE_0219,2004-07-21 21:00:17,502158.812,6782054.748,339.246,61.17428542,-146.9620199,343.4
ICE_0220,2004-07-22 00:00:17,502158.397,6782054.472,339.235,61.17428295,-146.9620276,343.389
ICE_0221,2004-07-22 03:00:17,502158.011,6782054.198,339.22,61.17428048,-146.9620348,343.375
ICE_0222,2004-07-22 06:00:17,502157.662,6782053.986,339.289,61.17427858,-146.9620413,343.443
ICE_0223,2004-07-22 09:00:17,502157.306,6782053.722,339.154,61.17427621,-146.9620479,343.308
ICE_0224,2004-07-22 12:00:17,502156.957,6782053.492,339.143,61.17427415,-146.9620544,343.298
ICE_0225,2004-07-22 15:00:17,502156.602,6782053.248,339.122,61.17427197,-146.962061,343.276
ICE_0226,2004-07-22 18:00:17,502156.238,6782053.101,339.326,61.17427064,-146.9620678,343.48
ICE_0227,2004-07-22 21:00:17,502155.882,6782052.772,339.111,61.17426769,-146.9620744,343.265
ICE_0228,2004-07-23 00:00:17,502155.512,6782052.526,339.082,61.17426549,-146.9620812,343.236
ICE_0229,2004-07-23 03:00:17,502155.165,6782052.264,339.075,61.17426313,-146.9620877,343.229
ICE_0230,2004-07-23 06:00:17,502154.825,6782052.038,339.058,61.17426111,-146.962094,343.213
ICE_0231,2004-07-23 09:00:17,502154.5,6782051.8,339.004,61.17425898,-146.9621001,343.159
ICE_0232,2004-07-23 12:00:17,502154.172,6782051.579,338.992,61.174257,-146.9621062,343.146
ICE_0233,2004-07-23 15:00:17,502153.835,6782051.353,338.981,61.17425496,-146.9621125,343.136
ICE_0234,2004-07-23 18:00:17,502153.458,6782051.109,338.952,61.17425278,-146.9621195,343.107
ICE_0235,2004-07-23 21:00:17,502153.026,6782050.834,338.958,61.17425031,-146.9621275,343.113
ICE_0236,2004-07-24 00:00:17,502152.573,6782050.557,338.945,61.17424782,-146.9621359,343.1
