marker	month	day	hour	min	Hz	V	Sd	East	North	Elev
555	9	14	21	11	110.08861	267.44111	1655.88	3446.394	5568.192	927.881
R1	9	14	21	11	179.99278	272.75972	131.906	4999.984	5131.753	1007.972
555	9	14	21	20	290.08472	92.57389	1655.873	3446.379	5568.074	927.442
R1	9	14	21	20	359.98889	87.25278	131.906	4999.974	5131.754	1007.944
555	9	14	21	21	110.08722	267.43944	1655.87	3446.392	5568.151	927.835
R1	9	14	21	21	179.99083	272.76028	131.906	4999.979	5131.753	1007.973
555	9	14	21	30	290.08222	92.57333	1655.86	3446.365	5568	927.459
R1	9	14	21	30	359.99028	87.25333	131.906	4999.978	5131.754	1007.942
555	9	14	21	31	110.08417	267.43972	1655.864	3446.368	5568.066	927.836
R1	9	14	21	31	179.99139	272.76083	131.906	4999.98	5131.753	1007.975
555	9	14	21	40	290.08	92.57222	1655.85	3446.353	5567.943	927.495
R1	9	14	21	40	359.98833	87.25361	131.906	4999.973	5131.754	1007.941
555	9	14	21	41	110.08278	267.43889	1655.854	3446.362	5568.021	927.815
R1	9	14	21	41	179.99167	272.76056	131.906	4999.981	5131.753	1007.974
555	9	14	21	50	290.07778	92.57361	1655.841	3446.341	5567.879	927.457
R1	9	14	21	50	359.98889	87.25361	131.906	4999.974	5131.754	1007.942
555	9	14	21	51	110.08	267.43917	1655.841	3446.348	5567.944	927.822
R1	9	14	21	51	179.99139	272.76028	131.905	4999.98	5131.752	1007.973
555	9	14	22	0	290.075	92.57389	1655.832	3446.324	5567.801	927.449
R1	9	14	22	0	359.98917	87.25333	131.906	4999.975	5131.754	1007.942
555	9	14	22	1	110.07889	267.43972	1655.83	3446.344	5567.906	927.843
R1	9	14	22	1	179.99139	272.76111	131.905	4999.98	5131.752	1007.975
555	9	14	22	10	290.07361	92.57333	1655.825	3446.313	5567.755	927.464
R1	9	14	22	10	359.98972	87.25417	131.905	4999.976	5131.754	1007.94
555	9	14	22	11	110.07583	267.44083	1655.821	3446.322	5567.821	927.87
R1	9	14	22	11	179.99111	272.76056	131.906	4999.98	5131.753	1007.974
555	9	14	22	20	290.07194	92.57333	1655.814	3446.307	5567.705	927.461
R1	9	14	22	20	359.98889	87.25194	131.906	4999.974	5131.754	1007.945
555	9	14	22	21	110.07444	267.44056	1655.809	3446.321	5567.782	927.863
R1	9	14	22	21	179.99111	272.76028	131.905	4999.98	5131.752	1007.974
555	9	14	22	30	290.06778	92.57139	1655.804	3446.275	5567.596	927.521
R1	9	14	22	30	359.98694	87.25167	131.905	4999.97	5131.754	1007.946
555	9	14	22	31	110.07167	267.43972	1655.804	3446.297	5567.701	927.843
R1	9	14	22	31	179.99111	272.75917	131.906	4999.98	5131.753	1007.971
555	9	14	22	40	290.06917	92.57278	1655.793	3446.299	5567.625	927.484
R1	9	14	22	40	359.98972	87.25222	131.905	4999.977	5131.754	1007.945
555	9	14	22	41	110.07056	267.43889	1655.793	3446.298	5567.667	927.819
R1	9	14	22	41	179.99194	272.75917	131.906	4999.981	5131.753	1007.971
555	9	14	22	50	290.06722	92.57417	1655.785	3446.291	5567.573	927.442
R1	9	14	22	50	359.98889	87.25194	131.905	4999.974	5131.754	1007.945
555	9	14	22	51	110.06861	267.43917	1655.786	3446.286	5567.614	927.823
R1	9	14	22	51	179.99278	272.75972	131.905	4999.983	5131.752	1007.972
555	9	14	23	0	290.06333	92.57417	1655.773	3446.262	5567.463	927.443
R1	9	14	23	0	359.98833	87.25306	131.906	4999.973	5131.754	1007.943
555	9	14	23	1	110.06667	267.44028	1655.774	3446.278	5567.56	927.855
R1	9	14	23	1	179.99139	272.76	131.906	4999.98	5131.753	1007.973
555	9	14	23	10	290.06111	92.57389	1655.765	3446.248	5567.4	927.452
R1	9	14	23	10	359.99	87.25333	131.905	4999.977	5131.754	1007.942
555	9	14	23	11	110.06417	267.44	1655.763	3446.264	5567.488	927.85
R1	9	14	23	11	179.99167	272.76028	131.905	4999.981	5131.752	1007.974
555	9	14	23	20	290.05972	92.57389	1655.756	3446.242	5567.358	927.45
R1	9	14	23	20	359.98917	87.25333	131.905	4999.975	5131.754	1007.942
555	9	14	23	21	110.06194	267.43944	1655.755	3446.247	5567.421	927.838
R1	9	14	23	21	179.99056	272.75944	131.905	4999.978	5131.752	1007.972
555	9	14	23	30	290.05861	92.57306	1655.749	3446.236	5567.323	927.478
R1	9	14	23	30	359.98944	87.25361	131.906	4999.976	5131.754	1007.942
555	9	14	23	31	110.06028	267.43778	1655.745	3446.244	5567.375	927.786
R1	9	14	23	31	179.99194	272.75917	131.906	4999.982	5131.753	1007.971
555	9	14	23	40	290.05583	92.57389	1655.738	3446.22	5567.246	927.452
R1	9	14	23	40	359.98861	87.25306	131.906	4999.974	5131.754	1007.943
555	9	14	23	41	110.05806	267.43778	1655.736	3446.23	5567.31	927.788
R1	9	14	23	41	179.99111	272.76056	131.906	4999.98	5131.752	1007.974
555	9	14	23	50	290.05222	92.57333	1655.727	3446.194	5567.144	927.469
R1	9	14	23	50	359.98944	87.25278	131.906	4999.976	5131.754	1007.943
555	9	14	23	51	110.05611	267.43778	1655.728	3446.218	5567.253	927.793
R1	9	14	23	51	179.99194	272.76028	131.906	4999.981	5131.753	1007.974
555	9	15	0	0	290.05111	92.5725	1655.717	3446.191	5567.11	927.492
R1	9	15	0	0	359.98972	87.25306	131.906	4999.977	5131.754	1007.943
555	9	15	0	1	110.055	267.43778	1655.718	3446.215	5567.22	927.792
R1	9	15	0	1	179.99167	272.75972	131.906	4999.981	5131.753	1007.972
555	9	15	0	10	290.04944	92.57444	1655.709	3446.186	5567.065	927.436
R1	9	15	0	10	359.99056	87.25278	131.906	4999.978	5131.754	1007.943
555	9	15	0	11	110.05167	267.43833	1655.705	3446.197	5567.129	927.805
R1	9	15	0	11	179.99028	272.76028	131.906	4999.977	5131.752	1007.974
555	9	15	0	20	290.04583	92.57361	1655.699	3446.157	5566.959	927.464
