id,t,x,y,z
4,171.9517361,496132.205582265,6776166.14642165,-51.1619784
4,171.9586806,496132.191604007,6776166.05550506,-51.1613837
4,171.965625,496132.19432756,6776165.99358393,-51.2264436
4,171.9725694,496132.172496591,6776165.87060822,-51.2180535
4,171.9795139,496132.167593274,6776165.80594134,-51.1816256
4,171.9864583,496132.156976738,6776165.70319766,-51.2264740000001
4,171.9934028,496132.143802738,6776165.60927617,-51.1772792
4,172.0003472,496132.127590382,6776165.51106653,-51.1563611
4,172.0072917,496132.129887232,6776165.46265,-51.2013124
4,172.0142361,496132.125986315,6776165.37908042,-51.2384374
4,172.0211806,496132.095425559,6776165.24303885,-51.1792804
4,172.028125,496132.092969123,6776165.18029124,-51.2395287000001
4,172.0350694,496132.090509912,6776165.1120146,-51.2208804000001
4,172.0420139,496132.087307459,6776165.03891858,-51.2478734
4,172.0628472,496132.044233532,6776164.73984573,-51.2454924
4,172.0697917,496132.040365073,6776164.66954511,-51.2828083000001
4,172.0767361,496132.032815424,6776164.59248762,-51.2997855
4,172.0836806,496132.024373023,6776164.51046829,-51.3192944
4,172.090625,496132.019907915,6776164.44026681,-51.3235964
4,172.0975694,496132.005418232,6776164.33888699,-51.3227851
4,172.1045139,496131.996873272,6776164.26482008,-51.3322561
4,172.1114583,496131.979282422,6776164.1564093,-51.3442097
4,172.1184028,496131.977194798,6776164.09081234,-51.3560645
4,172.1253472,496131.949806031,6776163.95392343,-51.3298955
4,172.1322917,496131.937076785,6776163.87307344,-51.3497144
4,172.1392361,496131.934631379,6776163.80502175,-51.3589876
4,172.1461806,496131.927951018,6776163.71713908,-51.3757643
4,172.153125,496131.90784066,6776163.59628823,-51.3825296
4,172.1600694,496131.895793945,6776163.50999376,-51.3971112
4,172.1670139,496131.890277988,6776163.44291206,-51.3811018
4,172.1739583,496131.874208555,6776163.33405584,-51.3929791
4,172.1809028,496131.862748813,6776163.24244024,-51.3998595
4,172.1878472,496131.832038137,6776163.09328013,-51.3812701000001
4,172.1947917,496131.833565176,6776163.04240134,-51.3830137
4,172.2086806,496131.820551352,6776162.87191879,-51.4497541
4,172.215625,496131.819402019,6776162.8086385,-51.4540032
4,172.2225694,496131.800976261,6776162.68739362,-51.483562
4,172.2295139,496131.785988885,6776162.5888966,-51.4725738
4,172.2364583,496131.774944628,6776162.49965253,-51.4820324999999
4,172.2434028,496131.767511341,6776162.41738359,-51.4887699
4,172.2572917,496131.740695026,6776162.22190425,-51.50757
4,172.2642361,496131.731847723,6776162.13208431,-51.5421700000001
4,172.2711806,496131.717383637,6776162.0308714,-51.5363349
