marker,t,x,y,z_G,z_Q
10,1984-08-22T01:12:28Z,497675.339616266,6766084.26876865,132.999495456224,NA
10,1984-08-22T04:05:16Z,497675.199385255,6766083.30276208,132.9212418483,NA
10,1984-08-22T16:18:14Z,497674.639076464,6766079.44297413,132.598847926793,NA
10,1984-08-23T23:30:14Z,497673.293508305,6766070.17378567,131.798653758783,NA
10,1984-08-24T03:07:40Z,497673.132904274,6766069.06743589,131.700132137771,NA
10,1984-08-26T04:09:36Z,497670.762158833,6766052.7361292,130.118217991123,NA
10,1984-08-26T16:05:16Z,497670.159767807,6766048.58645018,129.668975848151,NA
10,1984-08-26T19:38:24Z,497669.978922713,6766047.3406662,129.534463694039,130.071329091445
10,1984-08-26T22:24:00Z,497669.837603904,6766046.36716615,129.430613017705,NA
10,1984-08-27T01:18:14Z,497669.687970334,6766045.33638837,129.322908500463,NA
10,1984-08-27T16:15:21Z,497668.93133429,6766040.12416479,128.830935523557,NA
10,1984-08-28T04:02:24Z,497668.367175608,6766036.23785616,128.470920058653,NA
10,1984-08-28T17:05:45Z,497667.784123104,6766032.22139405,128.036662479911,NA
10,1984-08-28T21:22:04Z,497667.598335724,6766030.94156424,127.880962873783,NA
10,1984-08-29T00:26:24Z,497667.465714981,6766030.02798237,127.765857261262,NA
10,1984-08-29T03:19:12Z,497667.342073322,6766029.17625454,127.656576964677,NA
10,1984-08-29T20:21:36Z,497666.610155401,6766024.1343062,126.989820004087,NA
10,1984-08-30T03:20:38Z,497666.309997026,6766022.06661121,126.706547387335,NA
10,1984-08-30T18:52:19Z,497665.639569373,6766017.44824966,126.107406253411,NA
10,1984-08-30T21:23:31Z,497665.52990157,6766016.69278325,126.020511865136,NA
10,1984-08-31T00:56:38Z,497665.374184689,6766015.62009948,125.904822870616,NA
10,1984-08-31T03:13:26Z,497665.27356866,6766014.92698786,125.834112003132,NA
10,1984-08-31T17:24:28Z,497664.639968096,6766010.56231634,125.43345461563,NA
10,1984-08-31T19:24:00Z,497664.550334672,6766009.94486036,125.380489954942,NA
10,1984-08-31T22:28:19Z,497664.411928353,6766008.99142351,125.299464130698,NA
10,1984-09-01T01:22:33Z,497664.2806221,6766008.08689675,125.223435555445,NA
10,1984-09-01T04:02:24Z,497664.159514744,6766007.25262693,125.154060710323,NA
10,1984-09-01T16:38:24Z,497663.576444088,6766003.23603978,124.82962695362,NA
10,1984-09-01T19:15:21Z,497663.452923639,6766002.38514693,124.762879776796,NA
10,1984-09-01T22:09:36Z,497663.314734881,6766001.43320879,124.688974768398,NA
10,1984-09-02T01:12:28Z,497663.168438845,6766000.42542222,124.611596693945,NA
10,1984-09-02T04:05:16Z,497663.028913704,6765999.46427816,124.538630468288,NA
10,1984-09-02T16:29:45Z,497662.42235299,6765995.28587552,124.223399765879,NA
10,1984-09-02T19:18:14Z,497662.286158185,6765994.34767308,124.151282541911,NA
10,1984-09-02T22:02:24Z,497662.154556989,6765993.44111456,124.080623131311,NA
10,1984-09-03T01:13:55Z,497662.002242948,6765992.39187187,123.997759269415,NA
10,1984-09-03T03:53:45Z,497661.875936648,6765991.52178818,123.928305492686,NA
10,1984-09-03T17:14:24Z,497661.257758872,6765987.2633593,123.577087325565,NA
10,1984-09-03T19:09:36Z,497661.171626723,6765986.67002249,123.526148770358,NA
10,1984-09-03T22:02:24Z,497661.044137948,6765985.79179312,123.44955434019,NA
10,1984-09-04T01:02:24Z,497660.913848035,6765984.8942676,123.369496863972,NA
10,1984-09-04T03:59:31Z,497660.788771956,6765984.03265852,123.290385862747,NA
10,1984-09-04T16:28:19Z,497660.283667708,6765980.55315699,122.953413445712,NA
11,1984-08-11T23:47:31Z,497621.891926577,6765264.99338357,105.896109463569,106.214832829173
11,1984-08-12T03:59:31Z,497621.570919335,6765263.27978465,105.818149457735,NA
11,1984-08-12T15:36:28Z,497620.684595847,6765258.54841797,105.608697841743,NA
11,1984-08-12T23:54:43Z,497620.04948245,6765255.15805947,105.471839403284,105.92239687985
11,1984-08-13T05:21:36Z,497619.627244193,6765252.91609944,105.385636596265,NA
11,1984-08-13T20:46:04Z,497618.415791648,6765246.48364541,105.109177490134,105.673893847091
11,1984-08-14T00:30:43Z,497618.124171094,6765244.92101636,105.034586300952,NA
11,1984-08-14T04:45:36Z,497617.795378822,6765243.15920516,104.948152876907,NA
11,1984-08-14T17:14:24Z,497616.852103069,6765238.10472571,104.699109509288,NA
11,1984-08-14T20:28:48Z,497616.611319138,6765236.81450127,104.639564684812,105.396807763644
11,1984-08-14T23:41:45Z,497616.379703981,6765235.53594026,104.583646580786,NA
