marker,t,x,y
11,1984-08-28T15:00:02Z,497594.824059803,6765102.25612019
11,1984-08-28T15:44:58Z,497594.781975556,6765101.9842803
11,1984-08-28T16:15:04Z,497594.753632176,6765101.80119847
11,1984-08-28T16:30:02Z,497594.739522955,6765101.71006107
11,1984-08-28T16:45:01Z,497594.725428011,6765101.61901588
11,1984-08-28T17:00:00Z,497594.711360682,6765101.52814907
11,1984-08-28T17:14:58Z,497594.697334301,6765101.43754677
11,1984-08-28T17:29:57Z,497594.683362207,6765101.34729512
11,1984-08-28T17:45:04Z,497594.669322684,6765101.25660793
11,1984-08-28T18:15:01Z,497594.641727759,6765101.07836069
11,1984-08-28T18:30:00Z,497594.628044859,6765100.98997706
11,1984-08-28T18:44:58Z,497594.614442692,6765100.90211493
11,1984-08-28T18:59:57Z,497594.600924527,6765100.81479542
11,1984-08-28T19:15:04Z,497594.58736493,6765100.72720826
11,1984-08-28T19:30:02Z,497594.574025471,6765100.64104308
11,1984-08-28T19:45:01Z,497594.56077986,6765100.55548408
11,1984-08-28T20:00:00Z,497594.547631363,6765100.4705524
11,1984-08-28T20:14:58Z,497594.534583252,6765100.38626915
11,1984-08-28T20:29:57Z,497594.521638796,6765100.30265547
11,1984-08-28T20:45:04Z,497594.508674401,6765100.21891296
11,1984-08-28T21:00:02Z,497594.495920877,6765100.13653257
11,1984-08-28T21:15:01Z,497594.483234454,6765100.05458563
11,1984-08-28T21:30:00Z,497594.470595322,6765099.97294415
11,1984-08-28T21:44:58Z,497594.457983659,6765099.89148011
11,1984-08-28T21:59:57Z,497594.445379653,6765099.81006551
11,1984-08-28T22:15:04Z,497594.432642049,6765099.72778797
11,1984-08-28T22:30:02Z,497594.419993497,6765099.64608564
11,1984-08-28T23:00:00Z,497594.394520614,6765099.48154556
11,1984-08-28T23:29:57Z,497594.368681246,6765099.31463818
11,1984-08-28T23:45:04Z,497594.355452408,6765099.22918753
11,1984-08-29T00:00:02Z,497594.342224443,6765099.14374254
11,1984-08-29T00:15:01Z,497594.328878684,6765099.05753666
11,1984-08-29T00:30:00Z,497594.315421829,6765098.97061316
11,1984-08-29T00:44:58Z,497594.301860578,6765098.88301533
11,1984-08-29T00:59:57Z,497594.288201631,6765098.79478642
11,1984-08-29T01:15:04Z,497594.274319053,6765098.705113
11,1984-08-29T01:30:02Z,497594.260484028,6765098.61574676
11,1984-08-29T01:45:01Z,497594.24657147,6765098.52587968
11,1984-08-29T02:00:00Z,497594.232588075,6765098.43555504
11,1984-08-29T02:14:58Z,497594.218540666,6765098.3448169
11,1984-08-29T02:45:04Z,497594.190146842,6765098.16140923
11,1984-08-29T03:00:02Z,497594.175951225,6765098.06971375
11,1984-08-29T03:15:01Z,497594.161721252,6765097.97779636
11,1984-08-29T03:30:00Z,497594.147464353,6765097.88570503
11,1984-08-29T03:44:58Z,497594.133187954,6765097.79348777
11,1984-08-29T03:59:57Z,497594.118899488,6765097.70119253
11,1984-08-29T04:30:02Z,497594.090178685,6765097.51567276
11,1984-08-29T04:45:01Z,497594.07589871,6765097.42343238
11,1984-08-29T05:00:00Z,497594.061636447,6765097.33130643
11,1984-08-29T05:14:58Z,497594.047399329,6765097.23934288
11,1984-08-29T05:29:57Z,497594.03319501,6765097.1475912
11,1984-08-29T05:45:04Z,497594.018896108,6765097.05522856
11,1984-08-29T06:00:02Z,497594.004783852,6765096.96407156
11,1984-08-29T06:15:01Z,497593.990730649,6765096.87329599
11,1984-08-29T06:30:00Z,497593.976745296,6765096.78295871
11,1984-08-29T06:44:58Z,497593.962836594,6765096.69311654
11,1984-08-29T06:59:57Z,497593.949013343,6765096.60382633
11,1984-08-29T07:15:04Z,497593.935152816,6765096.51429535
11,1984-08-29T07:30:02Z,497593.921527894,6765096.42628624
11,1984-08-29T07:45:01Z,497593.908014904,6765096.33900015
11,1984-08-29T08:00:00Z,497593.894619357,6765096.25247265
11,1984-08-29T08:14:58Z,497593.881333585,6765096.16665425
11,1984-08-29T08:29:57Z,497593.868146635,6765096.08147419
11,1984-08-29T08:45:04Z,497593.854921995,6765095.99605066
11,1984-08-29T09:00:02Z,497593.841900515,6765095.91193944
11,1984-08-29T09:15:01Z,497593.828944891,6765095.8282536
11,1984-08-29T09:30:00Z,497593.816044165,6765095.74492237
11,1984-08-29T09:44:58Z,497593.803187384,6765095.66187501
11,1984-08-29T09:59:57Z,497593.790363591,6765095.57904073
11,1984-08-29T10:15:04Z,497593.777438813,6765095.49555413
11,1984-08-29T10:30:02Z,497593.764649543,6765095.41294285
11,1984-08-29T15:30:00Z,497593.506437297,6765093.74504113
11,1984-08-29T15:44:58Z,497593.493224385,6765093.65969336
11,1984-08-29T15:59:57Z,497593.479960205,6765093.57401444
11,1984-08-29T16:15:04Z,497593.4665136,6765093.48715715
11,1984-08-29T16:30:02Z,497593.453137845,6765093.40075751
11,1984-08-29T16:45:01Z,497593.439702319,6765093.31397179
11,1984-08-29T17:00:00Z,497593.426204194,6765093.22678172
11,1984-08-29T17:14:58Z,497593.412640648,6765093.13916904
11,1984-08-29T17:29:57Z,497593.399008849,6765093.05111551
11,1984-08-29T17:45:04Z,497593.385173863,6765092.96174951
11,1984-08-29T18:00:02Z,497593.371400086,6765092.87277888
11,1984-08-29T18:15:01Z,497593.357571897,6765092.78345677
11,1984-08-29T18:30:00Z,497593.34370881,6765092.69390925
11,1984-08-29T18:44:58Z,497593.329830342,6765092.60426238
11,1984-08-29T18:59:57Z,497593.315956009,6765092.51464222
11,1984-08-29T19:15:04Z,497593.301972328,6765092.42431573
11,1984-08-29T19:30:02Z,497593.288165326,6765092.33513048
11,1984-08-29T19:45:01Z,497593.274421197,6765092.24635137
11,1984-08-29T20:00:00Z,497593.26075946,6765092.15810444
11,1984-08-29T20:14:58Z,497593.247199628,6765092.07051579
11,1984-08-29T20:29:57Z,497593.23375627,6765091.98367946
11,1984-08-29T20:45:04Z,497593.220296438,6765091.89673673
11,1984-08-29T21:00:02Z,497593.207066216,6765091.81127716
11,1984-08-29T21:15:01Z,497593.193926688,6765091.72640341
11,1984-08-29T21:30:00Z,497593.180867642,6765091.64204952
11,1984-08-29T21:44:58Z,497593.167878864,6765091.55814953
11,1984-08-29T21:59:57Z,497593.154950144,6765091.47463748
11,1984-08-29T22:30:02Z,497593.129108732,6765091.30771692
11,1984-08-29T22:45:01Z,497593.116299146,6765091.2249744
11,1984-08-29T23:00:00Z,497593.10350867,6765091.14235533
11,1984-08-29T23:14:58Z,497593.090726401,6765091.05978927
11,1984-08-29T23:29:57Z,497593.077938664,6765090.97718788
11,1984-08-29T23:45:04Z,497593.065007796,6765090.89366195
11,1984-08-30T00:00:02Z,497593.052165618,6765090.8107089
11,1984-08-30T00:15:01Z,497593.039274726,6765090.72744121
11,1984-08-30T00:30:00Z,497593.026320759,6765090.64376607
11,1984-08-30T00:44:58Z,497593.013289341,6765090.55959065
11,1984-08-30T00:59:57Z,497593.000166106,6765090.47482215
11,1984-08-30T01:15:04Z,497592.986808919,6765090.38854245
11,1984-08-30T01:30:02Z,497592.973457717,6765090.30230141
11,1984-08-30T01:45:01Z,497592.959975161,6765090.2152119
11,1984-08-30T02:00:00Z,497592.946365418,6765090.12730083
11,1984-08-30T02:14:58Z,497592.932636356,6765090.03861904
11,1984-08-30T02:29:57Z,497592.918795853,6765089.9492174
11,1984-08-30T02:45:04Z,497592.904717225,6765089.8582776
11,1984-08-30T03:00:02Z,497592.89067657,6765089.7675831
11,1984-08-30T03:15:01Z,497592.876548169,6765089.67632179
11,1984-08-30T03:30:00Z,497592.862339889,6765089.58454454
11,1984-08-30T03:44:58Z,497592.848059607,6765089.49230218
11,1984-08-30T03:59:57Z,497592.833715197,6765089.39964557
11,1984-08-30T04:15:04Z,497592.819175812,6765089.30572957
11,1984-08-30T04:30:02Z,497592.804727299,6765089.21240054
11,1984-08-30T04:45:01Z,497592.790244155,6765089.1188478
11,1984-08-30T05:00:00Z,497592.775740052,6765089.02515969
11,1984-08-30T05:14:58Z,497592.761228669,6765088.93142454
11,1984-08-30T05:29:57Z,497592.746723676,6765088.83773069
11,1984-08-30T05:45:04Z,497592.732099619,6765088.74326774
11,1984-08-30T06:00:02Z,497592.717648834,6765088.64992403
11,1984-08-30T06:15:01Z,497592.703245602,6765088.55688748
11,1984-08-30T06:30:00Z,497592.688903597,6765088.46424643
11,1984-08-30T06:44:58Z,497592.674636498,6765088.37208922
11,1984-08-30T06:59:57Z,497592.660455121,6765088.28048573
11,1984-08-30T07:15:04Z,497592.646223702,6765088.188559
11,1984-08-30T07:45:01Z,497592.618274017,6765088.00802019
11,1984-08-30T17:00:00Z,497592.12494581,6765084.82140542
11,1984-08-30T17:14:58Z,497592.111393833,6765084.73386748
11,1984-08-30T17:29:57Z,497592.097783917,6765084.6459553
11,1984-08-30T17:45:04Z,497592.083980812,6765084.55679523
11,1984-08-30T18:00:02Z,497592.070243924,6765084.46806288
11,1984-08-30T18:15:01Z,497592.056438614,6765084.37888856
11,1984-08-30T18:30:00Z,497592.042561393,6765084.28924975
11,1984-08-30T18:44:58Z,497592.028613151,6765084.19915217
11,1984-08-30T18:59:57Z,497592.014612243,6765084.1087144
11,1984-08-30T19:15:04Z,497592.000446413,6765084.01721134
11,1984-08-30T19:30:02Z,497591.986408395,6765083.92653386
11,1984-08-30T19:45:01Z,497591.972386112,6765083.83595802
11,1984-08-30T20:00:00Z,497591.958402289,6765083.74563062
11,1984-08-30T20:15:59Z,497591.943545315,6765083.64966316
11,1984-08-30T20:29:57Z,497591.930640936,6765083.56630835
11,1984-08-30T20:45:04Z,497591.916777416,6765083.47675802
11,1984-08-30T21:00:02Z,497591.903176069,6765083.3889012
11,1984-08-30T21:15:01Z,497591.889727043,6765083.30202826
11,1984-08-30T21:30:00Z,497591.876444889,6765083.21623324
11,1984-08-30T21:44:58Z,497591.863311467,6765083.13139894
11,1984-08-30T21:59:57Z,497591.85030046,6765083.04735536
11,1984-08-30T22:15:04Z,497591.837261749,6765082.96313282
11,1984-08-30T22:30:02Z,497591.824417162,6765082.88016421
11,1984-08-30T22:45:01Z,497591.811615782,6765082.79747471
11,1984-08-30T23:00:00Z,497591.798831292,6765082.7148943
11,1984-08-30T23:14:58Z,497591.786037374,6765082.63225299
11,1984-08-30T23:29:57Z,497591.77320771,6765082.54938079
11,1984-08-30T23:45:04Z,497591.760191636,6765082.46530447
11,1984-08-31T00:00:02Z,497591.747215518,6765082.38148626
11,1984-08-31T00:15:01Z,497591.734154283,6765082.29711824
11,1984-08-31T00:30:00Z,497591.721011452,6765082.21222316
11,1984-08-31T00:44:58Z,497591.707790547,6765082.12682377
11,1984-08-31T00:59:57Z,497591.694495089,6765082.0409428
11,1984-08-31T01:15:04Z,497591.68099974,6765081.95377066
11,1984-08-31T01:30:02Z,497591.667565107,6765081.86699069
11,1984-08-31T01:45:01Z,497591.654066515,6765081.77979761
11,1984-08-31T02:00:00Z,497591.640507491,6765081.69221414
11,1984-08-31T02:14:58Z,497591.626891549,6765081.60426305
11,1984-08-31T02:29:57Z,497591.613220417,6765081.51595545
11,1984-08-31T02:45:04Z,497591.599356267,6765081.42640105
11,1984-08-31T03:00:02Z,497591.585555842,6765081.33725829
11,1984-08-31T03:15:01Z,497591.571680138,6765081.24762927
11,1984-08-31T03:30:00Z,497591.55772188,6765081.157467
11,1984-08-31T03:44:58Z,497591.543673797,6765081.06672451
11,1984-08-31T03:59:57Z,497591.529528614,6765080.97535482
11,1984-08-31T04:15:04Z,497591.515141517,6765080.88242249
11,1984-08-31T04:30:02Z,497591.500779209,6765080.7896503
11,1984-08-31T04:45:01Z,497591.486297915,6765080.69610951
11,1984-08-31T05:00:00Z,497591.471694686,6765080.60178109
11,1984-08-31T05:14:58Z,497591.456983881,6765080.50675782
11,1984-08-31T05:29:57Z,497591.44218419,6765080.41116037
11,1984-08-31T05:45:04Z,497591.427171038,6765080.31418409
11,1984-08-31T06:00:02Z,497591.412249226,6765080.21779781
11,1984-08-31T06:15:01Z,497591.397294765,6765080.12120065
11,1984-08-31T06:30:00Z,497591.382326343,6765080.02451331
11,1984-08-31T06:44:58Z,497591.367362651,6765079.92785651
11,1984-08-31T06:59:57Z,497591.352422372,6765079.83135095
