Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
CGR1	6	24	0	21	175.0145833	179.98639	272.77	131.868	4999.969	5131.714	1007.994
444	6	24	0	21	175.0145833	105.21833	267.015	1037.526	4000.208	5271.98	947.664
CGR1	6	24	0	30	175.0208333	359.98694	87.23778	131.868	4999.97	5131.715	1007.976
444	6	24	0	30	175.0208333	285.21028	92.99361	1037.515	4000.187	5271.834	947.51
CGR1	6	24	0	31	175.0215278	179.9875	272.77	131.868	4999.971	5131.714	1007.994
444	6	24	0	31	175.0215278	105.21167	267.01639	1037.516	4000.185	5271.864	947.692
CGR1	6	24	0	40	175.0277778	359.98583	87.235	131.869	4999.967	5131.716	1007.983
444	6	24	0	40	175.0277778	285.20444	92.98972	1037.502	4000.17	5271.733	947.582
CGR1	6	24	0	41	175.0284722	179.98667	272.76944	131.869	4999.97	5131.714	1007.993
444	6	24	0	41	175.0284722	105.20694	267.01667	1037.502	4000.175	5271.777	947.697
CGR1	6	24	0	50	175.0347222	359.98667	87.2375	131.868	4999.969	5131.715	1007.977
444	6	24	0	50	175.0347222	285.20139	92.99389	1037.491	4000.17	5271.676	947.508
CGR1	6	24	0	51	175.0354167	179.9875	272.76917	131.868	4999.971	5131.714	1007.992
444	6	24	0	51	175.0354167	105.20306	267.01611	1037.489	4000.169	5271.704	947.687
CGR1	6	24	1	0	175.0416667	359.98667	87.23861	131.868	4999.969	5131.715	1007.974
444	6	24	1	0	175.0416667	285.19611	92.99222	1037.478	4000.156	5271.58	947.537
CGR1	6	24	1	1	175.0423611	179.98583	272.77056	131.869	4999.967	5131.714	1007.995
444	6	24	1	1	175.0423611	105.19917	267.01583	1037.477	4000.163	5271.634	947.682
CGR1	6	24	1	10	175.0486111	359.9875	87.23722	131.868	4999.972	5131.715	1007.977
444	6	24	1	10	175.0486111	285.19417	92.9925	1037.466	4000.158	5271.543	947.532
CGR1	6	24	1	11	175.0493056	179.98667	272.76972	131.869	4999.97	5131.714	1007.994
444	6	24	1	11	175.0493056	105.19556	267.01417	1037.464	4000.16	5271.565	947.651
CGR1	6	24	1	20	175.0555556	359.98694	87.23806	131.869	4999.97	5131.716	1007.976
444	6	24	1	20	175.0555556	285.18944	92.99361	1037.452	4000.15	5271.456	947.515
CGR1	6	24	1	21	175.05625	179.98667	272.76806	131.869	4999.97	5131.715	1007.989
444	6	24	1	21	175.05625	105.19194	267.015	1037.452	4000.154	5271.502	947.67
CGR1	6	24	1	30	175.0625	359.98556	87.23528	131.869	4999.967	5131.715	1007.982
444	6	24	1	30	175.0625	285.18528	92.99556	1037.441	4000.143	5271.381	947.479
CGR1	6	24	1	31	175.0631944	179.98556	272.76917	131.868	4999.967	5131.714	1007.992
444	6	24	1	31	175.0631944	105.18722	267.01389	1037.439	4000.145	5271.416	947.648
CGR1	6	24	1	40	175.0694444	359.98556	87.23694	131.869	4999.967	5131.715	1007.978
444	6	24	1	40	175.0694444	285.18056	92.99333	1037.432	4000.127	5271.296	947.521
CGR1	6	24	1	41	175.0701389	179.98667	272.76889	131.869	4999.969	5131.715	1007.992
444	6	24	1	41	175.0701389	105.18222	267.01306	1037.432	4000.129	5271.325	947.635
CGR1	6	24	1	50	175.0763889	359.98694	87.2375	131.869	4999.97	5131.715	1007.977
444	6	24	1	50	175.0763889	285.1775	92.99528	1037.42	4000.125	5271.236	947.484
CGR1	6	24	1	51	175.0770833	179.98917	272.77	131.869	4999.975	5131.715	1007.994
CGR1	6	24	2	0	175.0833333	359.98778	87.23917	131.869	4999.972	5131.715	1007.973
444	6	24	2	0	175.0833333	285.1725	92.99194	1037.411	4000.107	5271.148	947.547
CGR1	6	24	2	1	175.0840278	179.98861	272.77111	131.869	4999.974	5131.714	1007.997
444	6	24	2	1	175.0840278	105.17667	267.0125	1037.408	4000.126	5271.224	947.628
