Output order: Pnt Id	month	day	hour	min	dec day	 Hz	 V	 Sd	 East	 North	 Elev
444	6	18	4	15	169.1770833	289.23361	92.71833	1050.582	4009.167	5345.697	951.871
CGR1	6	18	4	16	169.1777778	179.98639	272.77167	131.87	4999.969	5131.715	1007.998
444	6	18	4	16	169.1777778	109.23444	267.28889	1050.587	4009.162	5345.716	952.001
CGR1	6	18	4	30	169.1875	359.98472	87.23528	131.87	4999.965	5131.717	1007.982
444	6	18	4	30	169.1875	289.22222	92.71444	1050.56	4009.115	5345.492	951.944
CGR1	6	18	4	31	169.1881944	179.98667	272.77056	131.87	4999.97	5131.716	1007.995
444	6	18	4	31	169.1881944	109.22472	267.28972	1050.556	4009.132	5345.537	952.02
CGR1	6	18	4	45	169.1979167	359.9825	87.23722	131.87	4999.96	5131.716	1007.977
444	6	18	4	45	169.1979167	289.21806	92.71944	1050.538	4009.116	5345.412	951.85
CGR1	6	18	4	46	169.1986111	179.98472	272.77306	131.87	4999.965	5131.716	1008.001
CGR1	6	18	5	0	169.2083333	359.98444	87.23472	131.87	4999.964	5131.716	1007.983
444	6	18	5	0	169.2083333	289.20889	92.72083	1050.511	4009.086	5345.243	951.825
CGR1	6	18	5	1	169.2090278	179.985	272.775	131.87	4999.966	5131.715	1008.005
444	6	18	5	1	169.2090278	109.21083	267.2875	1050.514	4009.09	5345.284	951.982
CGR1	6	18	5	15	169.21875	359.98194	87.23806	131.87	4999.959	5131.717	1007.975
444	6	18	5	15	169.21875	289.19667	92.7125	1050.471	4009.043	5345.022	951.984
CGR1	6	18	5	16	169.2194444	179.98333	272.77111	131.87	4999.962	5131.716	1007.997
444	6	18	5	16	169.2194444	109.19861	267.29278	1050.482	4009.042	5345.063	952.079
CGR1	6	18	5	30	169.2291667	359.98528	87.23889	131.87	4999.966	5131.717	1007.974
444	6	18	5	30	169.2291667	289.19389	92.71972	1050.463	4009.042	5344.971	951.852
CGR1	6	18	5	31	169.2298611	179.985	272.77194	131.87	4999.965	5131.716	1007.998
444	6	18	5	31	169.2298611	109.195	267.28861	1050.46	4009.043	5344.99	952.005
CGR1	6	18	5	45	169.2395833	359.98528	87.23556	131.87	4999.966	5131.716	1007.981
444	6	18	5	45	169.2395833	289.18583	92.71917	1050.438	4009.016	5344.824	951.863
CGR1	6	18	5	46	169.2402778	179.98278	272.77306	131.87	4999.961	5131.715	1008.001
444	6	18	5	46	169.2402778	109.18778	267.2875	1050.435	4009.025	5344.859	951.983
