Target	dec day	Hang	Vang	Dslope	HI	N local	E local	Z local
CGR1	155.336	359.999	87.236	131.884	1.620	4999.997	5131.730	1007.980
CGR1	155.336	179.998	272.777	131.884	1.620	4999.994	5131.729	1008.010
CGR1	155.344	0.001	87.238	131.884	1.620	5000.002	5131.730	1007.978
CGR1	155.344	179.999	272.776	131.884	1.620	4999.998	5131.729	1008.007
CGR1	155.345	359.996	87.236	131.884	1.620	4999.992	5131.730	1007.980
CGR1	155.345	179.996	272.776	131.884	1.620	4999.991	5131.729	1008.009
CGR1	155.347	359.995	87.237	131.884	1.620	4999.989	5131.731	1007.980
CGR1	155.347	179.994	272.773	131.884	1.620	4999.987	5131.729	1008.002
CGR1	155.354	359.997	87.237	131.883	1.620	4999.993	5131.730	1007.979
CGR1	155.355	179.999	272.774	131.884	1.620	4999.997	5131.729	1008.004
CGR1	155.356	0.000	87.236	131.884	1.620	5000.000	5131.730	1007.980
CGR1	155.356	179.999	272.775	131.884	1.620	4999.998	5131.729	1008.006
CGR1	155.357	359.996	87.237	131.884	1.620	4999.991	5131.730	1007.979
CGR1	155.357	179.999	272.775	131.883	1.620	4999.997	5131.729	1008.006
CGR1	155.365	359.999	87.237	131.883	1.620	4999.998	5131.730	1007.979
CGR1	155.365	180.003	272.776	131.883	1.620	5000.006	5131.729	1008.008
CGR1	155.366	0.001	87.238	131.883	1.620	5000.002	5131.730	1007.976
CGR1	155.366	180.003	272.775	131.884	1.620	5000.007	5131.729	1008.006
CGR1	155.372	0.003	87.239	131.884	1.620	5000.006	5131.731	1007.975
CGR1	155.372	180.002	272.776	131.884	1.620	5000.005	5131.729	1008.008
