
Project:     S1R2 a-d
Program:     GrafNav Lite Version 8.20.0522
Profile:     UTM
Source:      GPS Epochs(Combined)
ProcessInfo: Run (1) by Unknown on 10/19/2010 at 18:28:46

Datum:       WGS84, (processing datum)
Master 1:    Name S1Base, Status ENABLED
             Antenna height 0.000 m, to L1-PC (Generic)
             Position 61 06 47.93987, -147 01 37.74559, 661.105 m (WGS84, Ellipsoidal hgt)
Remote:      Antenna height 0.000 m, to L1-PC (Generic)

Map projection Info:
  UTM Zone:    6
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

Stati     GPSTime       Date      Easting     Northing    H-Ell SDHoriz SDHeigh Q
            (HMS)      (MDY)          (m)          (m)      (m)     (m)     (m)  
287-K 19:59:00.00  5/18/2010   504669.509  6785022.085  339.439   0.025   0.047 2
288-K 19:59:30.00  5/18/2010   504669.510  6785022.081  339.433   0.025   0.047 2
289-K 20:00:00.00  5/18/2010   504669.508  6785022.083  339.448   0.025   0.048 2
290-K 20:00:30.00  5/18/2010   504669.503  6785022.084  339.449   0.025   0.048 2
291-K 20:01:00.00  5/18/2010   504669.501  6785022.084  339.459   0.025   0.048 2
292-K 20:01:30.00  5/18/2010   504669.498  6785022.088  339.469   0.025   0.048 2
293-K 20:02:00.00  5/18/2010   504669.498  6785022.078  339.455   0.025   0.048 2
294-K 20:02:30.00  5/18/2010   504669.495  6785022.076  339.450   0.025   0.048 2
295-K 20:03:00.00  5/18/2010   504669.493  6785022.072  339.443   0.025   0.048 2
296-K 20:03:30.00  5/18/2010   504669.490  6785022.076  339.456   0.025   0.048 2
297-K 20:04:00.00  5/18/2010   504669.488  6785022.079  339.468   0.025   0.049 2
298-K 20:04:30.00  5/18/2010   504669.489  6785022.071  339.467   0.025   0.052 2
299-K 20:05:00.00  5/18/2010   504669.488  6785022.069  339.467   0.025   0.052 2
300-K 20:05:30.00  5/18/2010   504669.486  6785022.066  339.460   0.025   0.051 2
301-K 20:06:00.00  5/18/2010   504669.482  6785022.060  339.459   0.025   0.051 2
302-K 20:06:30.00  5/18/2010   504669.479  6785022.062  339.476   0.025   0.051 2
303-K 20:07:00.00  5/18/2010   504669.479  6785022.054  339.468   0.025   0.051 2
304-K 20:07:30.00  5/18/2010   504669.480  6785022.053  339.477   0.025   0.051 2
305-K 20:08:00.00  5/18/2010   504669.477  6785022.047  339.469   0.025   0.051 2
306-K 20:08:30.00  5/18/2010   504669.475  6785022.050  339.476   0.025   0.051 2
307-K 20:09:00.00  5/18/2010   504669.471  6785022.048  339.473   0.025   0.051 2
308-K 20:09:30.00  5/18/2010   504669.472  6785022.050  339.483   0.025   0.051 2
309-K 20:10:00.00  5/18/2010   504669.468  6785022.045  339.483   0.025   0.051 2
310-K 20:10:30.00  5/18/2010   504669.465  6785022.043  339.483   0.025   0.051 2
311-K 20:11:00.00  5/18/2010   504669.463  6785022.039  339.470   0.024   0.047 2
312-K 20:11:30.00  5/18/2010   504669.461  6785022.034  339.470   0.024   0.046 2
313-K 20:12:00.00  5/18/2010   504669.457  6785022.030  339.470   0.024   0.046 2
314-K 20:12:30.00  5/18/2010   504669.453  6785022.027  339.466   0.024   0.045 2
315-K 20:13:00.00  5/18/2010   504669.453  6785022.027  339.477   0.024   0.045 2
316-K 20:13:30.00  5/18/2010   504669.449  6785022.026  339.470   0.024   0.045 2
317-K 20:14:00.00  5/18/2010   504669.445  6785022.030  339.484   0.024   0.045 2
318-K 20:14:30.00  5/18/2010   504669.445  6785022.023  339.471   0.023   0.040 2
319-K 20:15:00.00  5/18/2010   504669.441  6785022.024  339.469   0.023   0.039 2
320-K 20:15:30.00  5/18/2010   504669.439  6785022.022  339.479   0.023   0.038 2
321-K 20:16:00.00  5/18/2010   504669.435  6785022.015  339.464   0.023   0.038 2
322-K 20:16:30.00  5/18/2010   504669.434  6785022.014  339.468   0.023   0.038 2
323-K 20:17:00.00  5/18/2010   504669.432  6785022.013  339.462   0.023   0.038 2
324-K 20:17:30.00  5/18/2010   504669.428  6785022.013  339.468   0.023   0.038 2
325-K 20:18:00.00  5/18/2010   504669.428  6785022.010  339.474   0.023   0.038 2
