Output order: Pnt Id						 Hz	 V	 Sd	 East	 North	 Elev	 Sig.Strength





CGR1	166.6881944	6	15	16	31	179.98972	272.76833	131.87	4999.976	5131.716	1007.99
111	166.6888889	6	15	16	32	98.99583	267.40556	1252.046	3764.612	5195.577	945.052
333	166.6888889	6	15	16	32	98.99417	267.40528	1252.043	3764.609	5195.535	945.044
444	166.6888889	6	15	16	32	110.95833	267.40528	1056.746	4014.172	5377.603	953.856
CGR1	166.6979167	6	15	16	45	359.99028	87.23806	131.869	4999.978	5131.716	1007.976
111	166.6979167	6	15	16	45	278.98583	92.60278	1252.018	3764.614	5195.351	944.87
333	166.6986111	6	15	16	46	278.985	92.6025	1252.015	3764.613	5195.334	944.876
444	166.6986111	6	15	16	46	290.94944	92.60389	1056.723	4014.143	5377.44	953.689
CGR1	166.6986111	6	15	16	46	179.99083	272.77056	131.869	4999.979	5131.715	1007.996
111	166.6993056	6	15	16	47	98.98806	267.40611	1252.014	3764.616	5195.402	945.066
333	166.6993056	6	15	16	47	98.98778	267.40556	1252.013	3764.617	5195.396	945.051
444	166.6993056	6	15	16	47	110.95111	267.40472	1056.722	4014.148	5377.47	953.848
CGR1	166.7083333	6	15	17	0	359.9875	87.23722	131.87	4999.971	5131.717	1007.977
111	166.7083333	6	15	17	0	278.97778	92.60028	1251.985	3764.616	5195.175	944.925
333	166.7090278	6	15	17	1	278.97667	92.60083	1251.985	3764.613	5195.15	944.913
444	166.7090278	6	15	17	1	290.94194	92.60278	1056.698	4014.116	5377.302	953.71
CGR1	166.7090278	6	15	17	1	179.98806	272.76778	131.87	4999.973	5131.716	1007.989
111	166.7097222	6	15	17	2	98.97944	267.40389	1251.984	3764.619	5195.213	945.017
333	166.7097222	6	15	17	2	98.97972	267.40389	1251.983	3764.621	5195.219	945.015
444	166.7097222	6	15	17	2	110.94333	267.40361	1056.695	4014.122	5377.326	953.827
CGR1	166.71875	6	15	17	15	359.98778	87.23528	131.871	4999.972	5131.717	1007.982
111	166.71875	6	15	17	15	278.97139	92.60333	1251.956	3764.626	5195.032	944.864
333	166.7194444	6	15	17	16	278.97167	92.605	1251.954	3764.631	5195.036	944.824
444	166.7194444	6	15	17	16	290.93361	92.6025	1056.671	4014.085	5377.147	953.717
CGR1	166.7194444	6	15	17	16	179.98917	272.77194	131.87	4999.975	5131.715	1007.998
111	166.7201389	6	15	17	17	98.97444	267.40333	1251.954	3764.631	5195.095	945.008
333	166.7201389	6	15	17	17	98.9725	267.40444	1251.955	3764.624	5195.06	945.029
444	166.7201389	6	15	17	17	110.93639	267.40722	1056.669	4014.098	5377.197	953.898
CGR1	166.7291667	6	15	17	30	359.98833	87.23972	131.87	4999.973	5131.717	1007.972
111	166.7291667	6	15	17	30	278.96528	92.60611	1251.927	3764.637	5194.895	944.804
333	166.7298611	6	15	17	31	278.96528	92.605	1251.924	3764.638	5194.895	944.826
444	166.7298611	6	15	17	31	290.92667	92.60444	1056.645	4014.065	5377.016	953.68
CGR1	166.7298611	6	15	17	31	179.99028	272.76833	131.87	4999.978	5131.716	1007.991
111	166.7305556	6	15	17	32	98.96778	267.40389	1251.925	3764.638	5194.951	945.019
333	166.7305556	6	15	17	32	98.96722	267.40389	1251.923	3764.637	5194.936	945.019
444	166.7305556	6	15	17	32	110.92917	267.40306	1056.643	4014.078	5377.061	953.821
CGR1	166.7395833	6	15	17	45	359.99139	87.23722	131.869	4999.98	5131.716	1007.977
111	166.7395833	6	15	17	45	278.95972	92.60556	1251.896	3764.648	5194.769	944.818
333	166.7402778	6	15	17	46	278.95889	92.60667	1251.897	3764.645	5194.75	944.789
444	166.7402778	6	15	17	46	290.9225	92.60722	1056.617	4014.066	5376.934	953.629
CGR1	166.7402778	6	15	17	46	179.98972	272.76972	131.87	4999.976	5131.715	1007.993
111	166.7409722	6	15	17	47	98.96028	267.40222	1251.895	3764.643	5194.784	944.987
333	166.7409722	6	15	17	47	98.96056	267.40306	1251.895	3764.643	5194.788	945.001
444	166.7409722	6	15	17	47	110.92528	267.4025	1056.617	4014.077	5376.985	953.809
CGR1	166.75	6	15	18	0	359.99056	87.23861	131.869	4999.978	5131.716	1007.974
111	166.75	6	15	18	0	278.95306	92.6075	1251.867	3764.656	5194.621	944.776
333	166.7506944	6	15	18	1	278.95111	92.60556	1251.868	3764.646	5194.579	944.815
444	166.7506944	6	15	18	1	290.91694	92.60528	1056.596	4014.048	5376.833	953.668
CGR1	166.7506944	6	15	18	1	179.99167	272.7725	131.87	4999.981	5131.715	1008
111	166.7513889	6	15	18	2	98.95389	267.40278	1251.868	3764.648	5194.643	944.997
333	166.7513889	6	15	18	2	98.95361	267.4025	1251.867	3764.648	5194.636	944.99
444	166.7513889	6	15	18	2	110.91556	267.40417	1056.595	4014.033	5376.812	953.844
CGR1	166.7604167	6	15	18	15	359.98917	87.2375	131.87	4999.975	5131.717	1007.977
111	166.7604167	6	15	18	15	278.94611	92.60472	1251.841	3764.655	5194.469	944.837
333	166.7611111	6	15	18	16	278.94444	92.60417	1251.841	3764.649	5194.435	944.847
444	166.7611111	6	15	18	16	290.90806	92.605	1056.565	4014.018	5376.668	953.673
CGR1	166.7611111	6	15	18	16	179.99083	272.77111	131.869	4999.979	5131.715	1007.996
111	166.7618056	6	15	18	17	98.9475	267.40139	1251.839	3764.656	5194.498	944.973
333	166.7618056	6	15	18	17	98.94833	267.40222	1251.838	3764.66	5194.52	944.986
444	166.7618056	6	15	18	17	110.90972	267.40222	1056.564	4014.025	5376.699	953.807
CGR1	166.7708333	6	15	18	30	359.99056	87.23806	131.87	4999.979	5131.716	1007.976
