321	9	16	11	0	259.4583333	555	289	34	31	289.5752778	92	35	53	92.59805556	1653.314m	3443.829m	5553.373m	926.865m
323	9	16	11	0	259.4583333	R1	359	58	39	359.9775	87	15	9	87.2525	131.909m	4999.948m	5131.757m	1007.944m
325	9	16	11	1	259.4590278	555	109	34	38	109.5772222	267	24	38	267.4105556	1653.313m	3443.837m	5553.429m	927.114m
327	9	16	11	1	259.4590278	R1	179	58	43	179.9786111	272	45	32	272.7588889	131.909m	4999.951m	5131.756m	1007.971m
329	9	16	11	10	259.4652778	555	289	34	39	289.5775	92	36	6	92.60166667	1653.303m	3443.865m	5553.430m	926.758m
331	9	16	11	10	259.4652778	R1	359	58	42	359.9783333	87	15	11	87.25305556	131.908m	4999.951m	5131.757m	1007.943m
333	9	16	11	11	259.4659722	555	109	34	45	109.5791667	267	24	45	267.4125	1653.303m	3443.864m	5553.482m	927.168m
335	9	16	11	11	259.4659722	R1	179	59	5	179.9847222	272	45	43	272.7619444	131.909m	4999.965m	5131.755m	1007.977m
337	9	16	11	20	259.4722222	555	289	34	23	289.5730556	92	36	1	92.60027778	1653.293m	3443.830m	5553.303m	926.802m
339	9	16	11	20	259.4722222	R1	359	58	43	359.9786111	87	15	5	87.25138889	131.909m	4999.951m	5131.758m	1007.947m
341	9	16	11	21	259.4729167	555	109	34	33	109.5758333	267	24	46	267.4127778	1653.294m	3443.840m	5553.388m	927.172m
343	9	16	11	21	259.4729167	R1	179	59	3	179.9841667	272	45	28	272.7577778	131.909m	4999.964m	5131.756m	1007.968m
345	9	16	11	30	259.4791667	555	289	34	14	289.5705556	92	35	58	92.59944444	1653.284m	3443.812m	5553.230m	926.827m
347	9	16	11	30	259.4791667	R1	359	58	56	359.9822222	87	15	11	87.25305556	131.909m	4999.959m	5131.757m	1007.943m
349					243	555	ERR_8704							0				
351	9	16	11	31	259.4798611	R1	179	59	14	179.9872222	272	45	31	272.7586111	131.909m	4999.971m	5131.756m	1007.970m
353					243	555	ERR_8704							0				
355	9	16	11	40	259.4861111	R1	359	58	45	359.9791667	87	15	17	87.25472222	131.909m	4999.952m	5131.757m	1007.939m
357	9	16	11	41	259.4868056	555	109	34	25	109.5736111	267	24	36	267.41	1653.272m	3443.841m	5553.315m	927.100m
359	9	16	11	41	259.4868056	R1	179	59	3	179.9841667	272	45	35	272.7597222	131.909m	4999.964m	5131.756m	1007.972m
361	9	16	11	50	259.4930556	555	289	33	44	289.5622222	92	36	5	92.60138889	1653.262m	3443.756m	5553.000m	926.767m
363	9	16	11	50	259.4930556	R1	359	58	39	359.9775	87	15	5	87.25138889	131.909m	4999.949m	5131.757m	1007.946m
365	9	16	11	51	259.49375	555	109	34	4	109.5677778	267	24	40	267.4111111	1653.261m	3443.794m	5553.151m	927.128m
367	9	16	11	51	259.49375	R1	179	58	50	179.9805556	272	45	28	272.7577778	131.909m	4999.956m	5131.756m	1007.968m
369	9	16	12	0	259.5	555	289	33	46	289.5627778	92	35	58	92.59944444	1653.250m	3443.768m	5553.008m	926.829m
371	9	16	12	0	259.5	R1	359	58	47	359.9797222	87	15	10	87.25277778	131.909m	4999.954m	5131.757m	1007.944m
373	9	16	12	1	259.5006944	555	109	33	56	109.5655556	267	24	41	267.4113889	1653.251m	3443.782m	5553.089m	927.134m
